"STT","Tên công ty","Mã số thuế","Trạng thái hoạt động"
"1","CÔNG TY TNHH VẬT LIỆU BAO BÌ NHỰA IFC","0107759343","Đang hoạt động"
"2","Công ty bảo hiểm BSH Hà Nội","0103085460-012","Đang hoạt động"
"3","CÔNG TY CỔ PHẦN MỰC IN Á CHÂU","0200761562","Đang hoạt động"
"4","Không tìm thấy","0900213804","Không tồn tại / Lỗi tra cứu"
"5","Không tìm thấy","3700387904-001","Không tồn tại / Lỗi tra cứu"
"6","CÔNG TY TNHH THƯƠNG MẠI QUỐC TẾ CHAILEASE","0313918084","Đang hoạt động"
"7","Không tìm thấy","0314209228","Không tồn tại / Lỗi tra cứu"
"8","Không tìm thấy","0101990346","Không tồn tại / Lỗi tra cứu"
"9","Không tìm thấy","0101047075","Không tồn tại / Lỗi tra cứu"
"10","CÔNG TY ĐIỆN LỰC HOÀI ĐỨC","0100101114-035","Ngừng hoạt động và đã hoàn thành thủ tục chấm dứt hiệu lực MST"
