"STT","Tên công ty","Mã số thuế","Trạng thái hoạt động"
"1","CÔNG TY TNHH VẬT LIỆU BAO BÌ NHỰA IFC","0107759343","Đang hoạt động"
"2","Công ty bảo hiểm BSH Hà Nội","0103085460-012","Đang hoạt động"
"3","CÔNG TY CỔ PHẦN MỰC IN Á CHÂU","0200761562","Đang hoạt động"
"4","CÔNG TY CỔ PHẦN BAO BÌ NHỰA THIÊN HÀ","0900213804","Đang hoạt động"
"5","Chi nhánh công ty liên doanh TNHH In Mei Việt Nam","3700387904-001","Đang hoạt động"
"6","CÔNG TY TNHH THƯƠNG MẠI QUỐC TẾ CHAILEASE","0313918084","Đang hoạt động"
"7","Không tìm thấy","314209228","Không tồn tại / Lỗi tra cứu"
"8","CÔNG TY CỔ PHẦN NOVAON DIGITAL","0101990346","Đang hoạt động"
"9","CÔNG TY CHO THUÊ TÀI CHÍNH TNHH MỘT THÀNH VIÊN NGÂN HÀNG THƯONG MẠI CỔ PHẦN CÔNG THƯƠNG VIỆT NAM","0101047075","Đang hoạt động"
"10","CÔNG TY ĐIỆN LỰC HOÀI ĐỨC","0100101114-035","Ngừng hoạt động và đã hoàn thành thủ tục chấm dứt hiệu lực MST"
"11","CÔNG TY CỔ PHẦN VẬT LIỆU BAO BÌ NHỰA IFC VINA","2301153518","Đang hoạt động"
"12","CÔNG TY TNHH DU LỊCH VÀ THƯƠNG MẠI SÔNG HỒNG","0100237411","Đang hoạt động"
"13","Không tìm thấy","316870070","Không tồn tại / Lỗi tra cứu"
"14","Không tìm thấy","2300107759343","Không tồn tại / Lỗi tra cứu"
"15","Công ty bảo hiểm BSH Hà Nội","0103085460-012","Đang hoạt động"
"16","CÔNG TY CỔ PHẦN MỰC IN Á CHÂU","0200761562","Đang hoạt động"
"17","CÔNG TY CỔ PHẦN BAO BÌ NHỰA THIÊN HÀ","0900213804","Đang hoạt động"
"18","Chi nhánh công ty liên doanh TNHH In Mei Việt Nam","3700387904-001","Đang hoạt động"
"19","Không tìm thấy","0313918084","Không tồn tại / Lỗi tra cứu"
"20","Không tìm thấy","314209228","Không tồn tại / Lỗi tra cứu"
"21","CÔNG TY CỔ PHẦN NOVAON DIGITAL","0101990346","Đang hoạt động"
"22","CÔNG TY CHO THUÊ TÀI CHÍNH TNHH MỘT THÀNH VIÊN NGÂN HÀNG THƯONG MẠI CỔ PHẦN CÔNG THƯƠNG VIỆT NAM","0101047075","Đang hoạt động"
"23","CÔNG TY ĐIỆN LỰC HOÀI ĐỨC","0100101114-035","Ngừng hoạt động và đã hoàn thành thủ tục chấm dứt hiệu lực MST"
"24","CÔNG TY CỔ PHẦN VẬT LIỆU BAO BÌ NHỰA IFC VINA","2301153518","Đang hoạt động"
"25","CÔNG TY TNHH DU LỊCH VÀ THƯƠNG MẠI SÔNG HỒNG","0100237411","Đang hoạt động"
"26","Không tìm thấy","316870070","Không tồn tại / Lỗi tra cứu"
"27","CÔNG TY TNHH YUNCHENG PLATE MAKING (BẮC NINH)","2300998287","Đang hoạt động"
"28","CÔNG TY CỔ PHẦN XĂNG DẦU HFC","0100108159","Đang hoạt động"
"29","CÔNG TY CỔ PHẦN HT ALUMINIUM","0107090486","Đang hoạt động"
"30","Không tìm thấy","0101243150","Không tồn tại / Lỗi tra cứu"
"31","Không tìm thấy","0103971652-001","Không tồn tại / Lỗi tra cứu"
"32","CÔNG TY TNHH THƯƠNG MẠI DỊCH VỤ XUẤT NHẬP KHẨU TRAN DUONG FORKLIFTS","0108431890","Đang hoạt động"
"33","CÔNG TY TNHH THƯƠNG MẠI XUẤT NHẬP KHẨU TÂN KHẢI PHÚ","0311072367","Đang hoạt động"
"34","Không tìm thấy","0107616419","Không tồn tại / Lỗi tra cứu"
"35","Không tìm thấy","0303217354-001","Không tồn tại / Lỗi tra cứu"
"36","CÔNG TY TNHH TÂN ĐẠI MINH","0302588268","Đang hoạt động"
"37","Công ty bảo hiểm MIC Thành An","0102385623-057","Ngừng HĐ nhưng chưa hoàn thành thủ tục chấm dứt hiệu lực MST"
"38","Không tìm thấy","0104912402","Không tồn tại / Lỗi tra cứu"
"39","Không tìm thấy","0303177976","Không tồn tại / Lỗi tra cứu"
"40","Không tìm thấy","0314446814","Không tồn tại / Lỗi tra cứu"
"41","NGÂN HÀNG THƯƠNG MẠI CỔ PHẦN ĐẦU TƯ VÀ PHÁT TRIỂN VIỆT NAM - CHI NHÁNH ĐÔNG ĐÔ","0100150619-077","Đang hoạt động"
"42","TRUNG TÂM KINH DOANH VNPT - HÀ NỘI - CHI NHÁNH TỔNG CÔNG TY DỊCH VỤ VIỄN THÔNG","0106869738-002","Ngừng HĐ nhưng chưa hoàn thành thủ tục chấm dứt hiệu lực MST"
"43","Không tìm thấy","0101566426","Không tồn tại / Lỗi tra cứu"
"44","Không tìm thấy","3600668186","Không tồn tại / Lỗi tra cứu"
"45","CÔNG TY TNHH SAM ASIA","2301081870","Đang hoạt động"
"46","NGÂN HÀNG THƯƠNG MẠI CỔ PHẦN CÔNG THƯƠNG VIỆT NAM - CHI NHÁNH ĐÔ THÀNH","0100111948-104","Đang hoạt động"
"47","NGÂN HÀNG THƯƠNG MẠI CỔ PHẦN CÔNG THƯƠNG VIỆT NAM - CHI NHÁNH ĐÔ THÀNH","0100111948-104","Đang hoạt động"
"48","Không tìm thấy","0105886603","Không tồn tại / Lỗi tra cứu"
"49","Không tìm thấy","2300945951","Không tồn tại / Lỗi tra cứu"
"50","Không tìm thấy","0302077030-002","Không tồn tại / Lỗi tra cứu"
"51","Không tìm thấy","0104805312","Không tồn tại / Lỗi tra cứu"
"52","CÔNG TY CỔ PHẦN SẢN XUẤT VÀ XUẤT NHẬP KHẨU MINH THƯ","0105255220","Đang hoạt động"
"53","CÔNG TY CỔ PHẦN GIẤY VÀ BAO BÌ SIC","0106382510","Đang hoạt động"
"54","Không tìm thấy","0108967850","Không tồn tại / Lỗi tra cứu"
"55","Không tìm thấy","0103420630","Không tồn tại / Lỗi tra cứu"
"56","CÔNG TY TNHH DỊCH VỤ ĐẦU TƯ VINH HẠNH","0100235358","Đang hoạt động"
"57","CHI NHÁNH XĂNG DẦU HÀ NỘI - CÔNG TY XĂNG DẦU KHU VỰC I - CÔNG TY TRÁCH NHIỆM HỮU HẠN MỘT THÀNH VIÊN","0100107564-001","Ngừng hoạt động và đã hoàn thành thủ tục chấm dứt hiệu lực MST"
"58","Không tìm thấy","0107779847","Không tồn tại / Lỗi tra cứu"
"59","Không tìm thấy","0105867262","Không tồn tại / Lỗi tra cứu"
"60","Không tìm thấy","0102737963-012","Không tồn tại / Lỗi tra cứu"
"61","Không tìm thấy","0102721191-068","Không tồn tại / Lỗi tra cứu"
"62","Không tìm thấy","0308113486","Không tồn tại / Lỗi tra cứu"
"63","Không tìm thấy","0104050365","Không tồn tại / Lỗi tra cứu"
"64","Không tìm thấy","1101272587","Không tồn tại / Lỗi tra cứu"
"65","Không tìm thấy","0100150619-186","Không tồn tại / Lỗi tra cứu"
"66","Không tìm thấy","1100719199-003","Không tồn tại / Lỗi tra cứu"
"67","Không tìm thấy","0900554265","Không tồn tại / Lỗi tra cứu"
"68","Không tìm thấy","0500238177","Không tồn tại / Lỗi tra cứu"
"69","Không tìm thấy","0102737963-010","Không tồn tại / Lỗi tra cứu"
"70","Không tìm thấy","0109929294","Không tồn tại / Lỗi tra cứu"
"71","CÔNG TY TNHH PHÁT TRIỂN CÔNG NGHỆ THÁI SƠN","0101300842","Đang hoạt động"
"72","CÔNG TY TNHH ĐỨC DUNG","0101079327","Đang hoạt động"
"73","Không tìm thấy","0310762079","Không tồn tại / Lỗi tra cứu"
"74","Không tìm thấy","0102258103","Không tồn tại / Lỗi tra cứu"
"75","Không tìm thấy","0109299941","Không tồn tại / Lỗi tra cứu"
"76","CÔNG TY CỔ PHẦN TLD VIỆT NAM","0107571302","Đang hoạt động"
"77","CÔNG TY TNHH SXTM BẢO THẮNG","0105969306","Đang hoạt động"
"78","CÔNG TY CỔ PHẦN ĐẦU TƯ XÂY DỰNG ALPHA","0101214914","Đang hoạt động"
"79","CÔNG TY TNHH SẢN XUẤT THƯƠNG MẠI NGUYỄN NHUNG","0105992390","Đang hoạt động"
"80","Không tìm thấy","0107950276","Không tồn tại / Lỗi tra cứu"
"81","Không tìm thấy","0101335193-029","Không tồn tại / Lỗi tra cứu"
"82","Không tìm thấy","0108240254","Không tồn tại / Lỗi tra cứu"
"83","Không tìm thấy","0900270665","Không tồn tại / Lỗi tra cứu"
"84","CÔNG TY XĂNG DẦU HÀ SƠN BÌNH - CÔNG TY TNHH MỘT THÀNH VIÊN","0500232954","Ngừng HĐ nhưng chưa hoàn thành thủ tục chấm dứt hiệu lực MST"
"85","CÔNG TY TNHH DIC (VIỆT NAM)","3700626944","Đang hoạt động"
"86","Không tìm thấy","0107963571","Không tồn tại / Lỗi tra cứu"
"87","Không tìm thấy","3700371100","Không tồn tại / Lỗi tra cứu"
"88","Không tìm thấy","0106597837","Không tồn tại / Lỗi tra cứu"
"89","Không tìm thấy","0314527622","Không tồn tại / Lỗi tra cứu"
"90","Không tìm thấy","0108075931","Không tồn tại / Lỗi tra cứu"
"91","CÔNG TY TNHH ĐẦU TƯ ỨNG DỤNG SẢN XUẤT BAO BÌ VIỆT","0900254328","Đang hoạt động"
"92","CÔNG TY TNHH VIỆT NAM DONG YUN PLATE MAKING MIỀN BẮC","2300243293","Đang hoạt động"
"93","Không tìm thấy","0109576338","Không tồn tại / Lỗi tra cứu"
"94","Không tìm thấy","0100107564","Không tồn tại / Lỗi tra cứu"
"95","Không tìm thấy","0303539425","Không tồn tại / Lỗi tra cứu"
