"STT","Tên công ty","Mã số thuế","Trạng thái hoạt động"
"1","Không tìm thấy","0107759343","Không tồn tại / Lỗi tra cứu"
"2","Không tìm thấy","0103085460-012","Không tồn tại / Lỗi tra cứu"
"3","Không tìm thấy","0200761562","Không tồn tại / Lỗi tra cứu"
"4","Không tìm thấy","0900213804","Không tồn tại / Lỗi tra cứu"
"5","Không tìm thấy","3700387904-001","Không tồn tại / Lỗi tra cứu"
"6","CÔNG TY TNHH THƯƠNG MẠI QUỐC TẾ CHAILEASE","0313918084","Đang hoạt động"
"7","CÔNG TY TNHH THƯƠNG MẠI - DỊCH VỤ KIM CHÂU PHÚ","0314209228","Đang hoạt động"
"8","Không tìm thấy","0101990346","Không tồn tại / Lỗi tra cứu"
"9","Không tìm thấy","0101047075","Không tồn tại / Lỗi tra cứu"
"10","Không tìm thấy","0100101114-035","Không tồn tại / Lỗi tra cứu"
"11","Không tìm thấy","2301153518","Không tồn tại / Lỗi tra cứu"
"12","Không tìm thấy","0100237411","Không tồn tại / Lỗi tra cứu"
"13","Không tìm thấy","0316870070","Không tồn tại / Lỗi tra cứu"
"14","Không tìm thấy","2300998287","Không tồn tại / Lỗi tra cứu"
"15","Không tìm thấy","0100108159","Không tồn tại / Lỗi tra cứu"
"16","Không tìm thấy","0107090486","Không tồn tại / Lỗi tra cứu"
"17","Không tìm thấy","0101243150","Không tồn tại / Lỗi tra cứu"
"18","Không tìm thấy","0103971652-001","Không tồn tại / Lỗi tra cứu"
"19","Không tìm thấy","0108431890","Không tồn tại / Lỗi tra cứu"
"20","Không tìm thấy","0311072367","Không tồn tại / Lỗi tra cứu"
