"STT","Tên công ty","Mã số thuế","Trạng thái hoạt động"
"1","CÔNG TY TNHH VẬT LIỆU BAO BÌ NHỰA IFC","0107759343","Đang hoạt động"
"2","Công ty bảo hiểm BSH Hà Nội","0103085460-012","Đang hoạt động"
"3","CÔNG TY CỔ PHẦN MỰC IN Á CHÂU","0200761562","Đang hoạt động"
"4","CÔNG TY CỔ PHẦN BAO BÌ NHỰA THIÊN HÀ","0900213804","Đang hoạt động"
"5","Chi nhánh công ty liên doanh TNHH In Mei Việt Nam","3700387904-001","Đang hoạt động"
"6","Không tìm thấy","0313918084","Không tồn tại / Lỗi tra cứu"
"7","Không tìm thấy","0314209228","Không tồn tại / Lỗi tra cứu"
"8","Không tìm thấy","0101990346","Không tồn tại / Lỗi tra cứu"
"9","Không tìm thấy","0101047075","Không tồn tại / Lỗi tra cứu"
"10","Không tìm thấy","0100101114-035","Không tồn tại / Lỗi tra cứu"
