"STT","Tên công ty","Mã số thuế","Trạng thái hoạt động"
"1","Không tìm thấy","107759343","Không tồn tại / Lỗi tra cứu"
"2","Công ty bảo hiểm BSH Hà Nội","0103085460-012","Đang hoạt động"
"3","Không tìm thấy","200761562","Không tồn tại / Lỗi tra cứu"
"4","Không tìm thấy","900213804","Không tồn tại / Lỗi tra cứu"
"5","Không tìm thấy","3700387904-001","Không tồn tại / Lỗi tra cứu"
"6","Không tìm thấy","313918084","Không tồn tại / Lỗi tra cứu"
"7","Không tìm thấy","314209228","Không tồn tại / Lỗi tra cứu"
"8","Không tìm thấy","101990346","Không tồn tại / Lỗi tra cứu"
"9","Không tìm thấy","101047075","Không tồn tại / Lỗi tra cứu"
"10","Không tìm thấy","0100101114-035","Không tồn tại / Lỗi tra cứu"
"11","Không tìm thấy","2301153518","Không tồn tại / Lỗi tra cứu"
"12","Không tìm thấy","100237411","Không tồn tại / Lỗi tra cứu"
"13","Không tìm thấy","316870070","Không tồn tại / Lỗi tra cứu"
"14","Không tìm thấy","2300998287","Không tồn tại / Lỗi tra cứu"
"15","Không tìm thấy","100108159","Không tồn tại / Lỗi tra cứu"
"16","Không tìm thấy","107090486","Không tồn tại / Lỗi tra cứu"
"17","Không tìm thấy","101243150","Không tồn tại / Lỗi tra cứu"
"18","Không tìm thấy","0103971652-001","Không tồn tại / Lỗi tra cứu"
"19","Không tìm thấy","108431890","Không tồn tại / Lỗi tra cứu"
"20","Không tìm thấy","311072367","Không tồn tại / Lỗi tra cứu"
"21","Không tìm thấy","107616419","Không tồn tại / Lỗi tra cứu"
"22","Không tìm thấy","0303217354-001","Không tồn tại / Lỗi tra cứu"
"23","Không tìm thấy","302588268","Không tồn tại / Lỗi tra cứu"
"24","Không tìm thấy","0102385623-057","Không tồn tại / Lỗi tra cứu"
"25","Không tìm thấy","104912402","Không tồn tại / Lỗi tra cứu"
"26","Không tìm thấy","303177976","Không tồn tại / Lỗi tra cứu"
"27","Không tìm thấy","314446814","Không tồn tại / Lỗi tra cứu"
"28","Không tìm thấy","0100150619-077","Không tồn tại / Lỗi tra cứu"
"29","Không tìm thấy","0106869738-002","Không tồn tại / Lỗi tra cứu"
"30","Không tìm thấy","101566426","Không tồn tại / Lỗi tra cứu"
"31","Không tìm thấy","3600668186","Không tồn tại / Lỗi tra cứu"
"32","Không tìm thấy","2301081870","Không tồn tại / Lỗi tra cứu"
"33","Không tìm thấy","0100111948-104","Không tồn tại / Lỗi tra cứu"
"34","Không tìm thấy","0100111948-104","Không tồn tại / Lỗi tra cứu"
"35","Không tìm thấy","105886603","Không tồn tại / Lỗi tra cứu"
"36","Không tìm thấy","2300945951","Không tồn tại / Lỗi tra cứu"
"37","Không tìm thấy","0302077030-002","Không tồn tại / Lỗi tra cứu"
"38","Không tìm thấy","104805312","Không tồn tại / Lỗi tra cứu"
"39","Không tìm thấy","105255220","Không tồn tại / Lỗi tra cứu"
"40","Không tìm thấy","106382510","Không tồn tại / Lỗi tra cứu"
"41","Không tìm thấy","108967850","Không tồn tại / Lỗi tra cứu"
"42","Không tìm thấy","103420630","Không tồn tại / Lỗi tra cứu"
"43","Không tìm thấy","100235358","Không tồn tại / Lỗi tra cứu"
"44","Không tìm thấy","0100107564-001","Không tồn tại / Lỗi tra cứu"
"45","Không tìm thấy","107779847","Không tồn tại / Lỗi tra cứu"
"46","Không tìm thấy","105867262","Không tồn tại / Lỗi tra cứu"
"47","Không tìm thấy","0102737963-012","Không tồn tại / Lỗi tra cứu"
"48","Không tìm thấy","0102721191-068","Không tồn tại / Lỗi tra cứu"
"49","Không tìm thấy","308113486","Không tồn tại / Lỗi tra cứu"
"50","Không tìm thấy","104050365","Không tồn tại / Lỗi tra cứu"
"51","Không tìm thấy","1101272587","Không tồn tại / Lỗi tra cứu"
"52","Không tìm thấy","0100150619-186","Không tồn tại / Lỗi tra cứu"
"53","Không tìm thấy","1100719199-003","Không tồn tại / Lỗi tra cứu"
"54","Không tìm thấy","900554265","Không tồn tại / Lỗi tra cứu"
"55","Không tìm thấy","500238177","Không tồn tại / Lỗi tra cứu"
"56","Không tìm thấy","0102737963-010","Không tồn tại / Lỗi tra cứu"
