"STT","Tên công ty","Mã số thuế","Trạng thái hoạt động"
"1","CÔNG TY TNHH VẬT LIỆU BAO BÌ NHỰA IFC","0107759343","Đang hoạt động"
"2","Công ty bảo hiểm BSH Hà Nội","0103085460-012","Đang hoạt động"
"3","CÔNG TY CỔ PHẦN MỰC IN Á CHÂU","0200761562","Đang hoạt động"
"4","CÔNG TY CỔ PHẦN BAO BÌ NHỰA THIÊN HÀ","0900213804","Đang hoạt động"
"5","Chi nhánh công ty liên doanh TNHH In Mei Việt Nam","3700387904-001","Đang hoạt động"
"6","CÔNG TY TNHH THƯƠNG MẠI QUỐC TẾ CHAILEASE","0313918084","Đang hoạt động"
"7","Không tìm thấy","314209228","Không tồn tại / Lỗi tra cứu"
"8","CÔNG TY CỔ PHẦN NOVAON DIGITAL","0101990346","Đang hoạt động"
"9","CÔNG TY CHO THUÊ TÀI CHÍNH TNHH MỘT THÀNH VIÊN NGÂN HÀNG THƯONG MẠI CỔ PHẦN CÔNG THƯƠNG VIỆT NAM","0101047075","Đang hoạt động"
"10","CÔNG TY ĐIỆN LỰC HOÀI ĐỨC","0100101114-035","Ngừng hoạt động và đã hoàn thành thủ tục chấm dứt hiệu lực MST"
"11","CÔNG TY CỔ PHẦN VẬT LIỆU BAO BÌ NHỰA IFC VINA","2301153518","Đang hoạt động"
"12","CÔNG TY TNHH DU LỊCH VÀ THƯƠNG MẠI SÔNG HỒNG","0100237411","Đang hoạt động"
"13","Không tìm thấy","316870070","Không tồn tại / Lỗi tra cứu"
"14","CÔNG TY TNHH YUNCHENG PLATE MAKING (BẮC NINH)","2300998287","Đang hoạt động"
"15","CÔNG TY CỔ PHẦN XĂNG DẦU HFC","0100108159","Đang hoạt động"
"16","Không tìm thấy","0107090486","Không tồn tại / Lỗi tra cứu"
"17","Không tìm thấy","0101243150","Không tồn tại / Lỗi tra cứu"
"18","Không tìm thấy","0103971652-001","Không tồn tại / Lỗi tra cứu"
"19","Không tìm thấy","0108431890","Không tồn tại / Lỗi tra cứu"
"20","CÔNG TY TNHH THƯƠNG MẠI XUẤT NHẬP KHẨU TÂN KHẢI PHÚ","0311072367","Đang hoạt động"
"21","CÔNG TY CỔ PHẦN TRỤC IN HOÀNG ĐĂNG","0107616419","Đang hoạt động"
"22","Không tìm thấy","0303217354-001","Không tồn tại / Lỗi tra cứu"
"23","CÔNG TY TNHH TÂN ĐẠI MINH","0302588268","Đang hoạt động"
"24","Công ty bảo hiểm MIC Thành An","0102385623-057","Ngừng HĐ nhưng chưa hoàn thành thủ tục chấm dứt hiệu lực MST"
"25","Không tìm thấy","0104912402","Không tồn tại / Lỗi tra cứu"
"26","Không tìm thấy","0303177976","Không tồn tại / Lỗi tra cứu"
"27","Không tìm thấy","0314446814","Không tồn tại / Lỗi tra cứu"
"28","NGÂN HÀNG THƯƠNG MẠI CỔ PHẦN ĐẦU TƯ VÀ PHÁT TRIỂN VIỆT NAM - CHI NHÁNH ĐÔNG ĐÔ","0100150619-077","Đang hoạt động"
"29","TRUNG TÂM KINH DOANH VNPT - HÀ NỘI - CHI NHÁNH TỔNG CÔNG TY DỊCH VỤ VIỄN THÔNG","0106869738-002","Ngừng HĐ nhưng chưa hoàn thành thủ tục chấm dứt hiệu lực MST"
"30","Không tìm thấy","0101566426","Không tồn tại / Lỗi tra cứu"
"31","Không tìm thấy","3600668186","Không tồn tại / Lỗi tra cứu"
"32","Không tìm thấy","2301081870","Không tồn tại / Lỗi tra cứu"
"33","Không tìm thấy","0100111948-104","Không tồn tại / Lỗi tra cứu"
"34","Không tìm thấy","0100111948-104","Không tồn tại / Lỗi tra cứu"
"35","Không tìm thấy","0105886603","Không tồn tại / Lỗi tra cứu"
"36","Không tìm thấy","2300945951","Không tồn tại / Lỗi tra cứu"
"37","Không tìm thấy","0302077030-002","Không tồn tại / Lỗi tra cứu"
"38","Không tìm thấy","0104805312","Không tồn tại / Lỗi tra cứu"
"39","Không tìm thấy","0105255220","Không tồn tại / Lỗi tra cứu"
"40","Không tìm thấy","0106382510","Không tồn tại / Lỗi tra cứu"
"41","CÔNG TY TNHH MỘT THÀNH VIÊN HYUNDAI AN KHÁNH","0108967850","Đang hoạt động"
"42","CÔNG TY CỔ PHẦN TỔNG HỢP HÒA PHÁT PLASTIC","0103420630","Đang hoạt động"
"43","Không tìm thấy","0100235358","Không tồn tại / Lỗi tra cứu"
"44","Không tìm thấy","0100107564-001","Không tồn tại / Lỗi tra cứu"
"45","Không tìm thấy","0107779847","Không tồn tại / Lỗi tra cứu"
"46","Không tìm thấy","0105867262","Không tồn tại / Lỗi tra cứu"
"47","Không tìm thấy","0102737963-012","Không tồn tại / Lỗi tra cứu"
"48","Không tìm thấy","0102721191-068","Không tồn tại / Lỗi tra cứu"
"49","CÔNG TY CỔ PHẦN Á ĐÔNG ADG","0308113486","Đang hoạt động"
"50","CÔNG TY CỔ PHẦN CÔNG NGHỆ BAO BÌ PHƯƠNG BẮC","0104050365","Đang hoạt động"
"51","CÔNG TY TNHH BAO BÌ THẢO VIỆT","1101272587","Đang hoạt động"
"52","NGÂN HÀNG THƯƠNG MẠI CỔ PHẦN ĐẦU TƯ VÀ PHÁT TRIỂN VIỆT NAM - CHI NHÁNH VẠN PHÚC HÀ NỘI","0100150619-186","Đang hoạt động"
"53","CHI NHÁNH 3 - CÔNG TY CỔ PHẦN SẢN XUẤT THƯƠNG MẠI TÂN VIỆT SINH","1100719199-003","Đang hoạt động"
"54","Không tìm thấy","0900554265","Không tồn tại / Lỗi tra cứu"
"55","Không tìm thấy","0500238177","Không tồn tại / Lỗi tra cứu"
"56","Công ty Cổ phần Tập đoàn bảo hiểm DBV – Chi nhánh Nam Việt","0102737963-010","Đang hoạt động"
"57","CÔNG TY TNHH THƯƠNG MẠI QUỐC TẾ HOÀNG PHÚC","0109929294","Đang hoạt động"
"58","Không tìm thấy","0101300842","Không tồn tại / Lỗi tra cứu"
"59","Không tìm thấy","0101079327","Không tồn tại / Lỗi tra cứu"
"60","Không tìm thấy","0310762079","Không tồn tại / Lỗi tra cứu"
"61","CÔNG TY CỔ PHẦN THIẾT BỊ ĐO LƯỜNG ĐÔNG ĐÔ","0102258103","Đang hoạt động"
"62","CÔNG TY CỔ PHẦN KIỂM ĐỊNH HUẤN LUYỆN AN TOÀN VIỆT NAM","0109299941","Đang hoạt động"
"63","Không tìm thấy","0107571302","Không tồn tại / Lỗi tra cứu"
"64","Không tìm thấy","0105969306","Không tồn tại / Lỗi tra cứu"
"65","Không tìm thấy","0101214914","Không tồn tại / Lỗi tra cứu"
"66","CÔNG TY TNHH SẢN XUẤT THƯƠNG MẠI NGUYỄN NHUNG","0105992390","Đang hoạt động"
"67","CÔNG TY TNHH DỊCH VỤ VÀ THƯƠNG MẠI XE NÂNG ĐỨC CHUNG","0107950276","Đang hoạt động"
"68","Không tìm thấy","0101335193-029","Không tồn tại / Lỗi tra cứu"
"69","Không tìm thấy","0108240254","Không tồn tại / Lỗi tra cứu"
"70","Không tìm thấy","0900270665","Không tồn tại / Lỗi tra cứu"
"71","Không tìm thấy","0500232954","Không tồn tại / Lỗi tra cứu"
"72","Không tìm thấy","3700626944","Không tồn tại / Lỗi tra cứu"
"73","CÔNG TY TNHH DỊCH VỤ TƯ VẤN THÁI AN LUẬT","0107963571","Đang hoạt động"
"74","CÔNG TY TNHH HSIN MEI KUANG (VN)","3700371100","Đang hoạt động"
"75","Không tìm thấy","0106597837","Không tồn tại / Lỗi tra cứu"
"76","Không tìm thấy","0314527622","Không tồn tại / Lỗi tra cứu"
"77","Không tìm thấy","0108075931","Không tồn tại / Lỗi tra cứu"
"78","Không tìm thấy","0900254328","Không tồn tại / Lỗi tra cứu"
"79","CÔNG TY TNHH VIỆT NAM DONG YUN PLATE MAKING MIỀN BẮC","2300243293","Đang hoạt động"
"80","CÔNG TY TNHH THĂNG LONG PLASTIC","0109576338","Đang hoạt động"
"81","Không tìm thấy","0100107564","Không tồn tại / Lỗi tra cứu"
"82","Không tìm thấy","0303539425","Không tồn tại / Lỗi tra cứu"
"83","Không tìm thấy","0101508664-002","Không tồn tại / Lỗi tra cứu"
"84","Không tìm thấy","0101904467","Không tồn tại / Lỗi tra cứu"
"85","Không tìm thấy","0305723148","Không tồn tại / Lỗi tra cứu"
"86","CÔNG TY CỔ PHẦN SẢN XUẤT VÀ THƯƠNG MẠI MÀNG NHỰA VIỆT NAM","2500726308","Đang hoạt động"
"87","Không tìm thấy","0100112437-172","Không tồn tại / Lỗi tra cứu"
"88","Không tìm thấy","0101744118","Không tồn tại / Lỗi tra cứu"
"89","Phòng công chứng số 4 thành phố Hà Nội","0101365991","Đang hoạt động"
"90","CÔNG TY TNHH NHỰA GIA HÒA","0305992006","Đang hoạt động"
"91","Không tìm thấy","0109570209","Không tồn tại / Lỗi tra cứu"
"92","Không tìm thấy","0100110768-030","Không tồn tại / Lỗi tra cứu"
"93","CÔNG TY TNHH SẢN XUẤT THƯƠNG MẠI DỊCH VỤ BÌNH KHÁNH","0302202210","Đang hoạt động"
"94","CÔNG TY TNHH THƯƠNG MẠI HOA VỸ","0108314202","Đang hoạt động"
"95","Không tìm thấy","0100101114-042","Không tồn tại / Lỗi tra cứu"
"96","CÔNG TY TNHH VIỆT NAM DONG YUN PLATE MAKING MIỀN BẮC","2300243293","Đang hoạt động"
"97","CÔNG TY TNHH THƯƠNG MẠI - DỊCH VỤ - KỸ THUẬT TOÀN ẤN","0303075477","Đang hoạt động"
"98","CHI NHÁNH CÔNG TY TRÁCH NHIỆM HỮU HẠN SAKATA INX VIỆT NAM TẠI BẮC NINH","0303177976-003","Đang hoạt động"
