"STT","Tên công ty","Mã số thuế","Trạng thái hoạt động"
"1","Không tìm thấy","0107759343","Không tồn tại / Lỗi tra cứu"
"2","Công ty bảo hiểm BSH Hà Nội","0103085460-012","Đang hoạt động"
"3","CÔNG TY CỔ PHẦN MỰC IN Á CHÂU","0200761562","Đang hoạt động"
"4","CÔNG TY CỔ PHẦN BAO BÌ NHỰA THIÊN HÀ","0900213804","Đang hoạt động"
"5","Chi nhánh công ty liên doanh TNHH In Mei Việt Nam","3700387904-001","Đang hoạt động"
"6","CÔNG TY TNHH THƯƠNG MẠI QUỐC TẾ CHAILEASE","0313918084","Đang hoạt động"
"7","CÔNG TY TNHH THƯƠNG MẠI - DỊCH VỤ KIM CHÂU PHÚ","0314209228","Đang hoạt động"
"8","CÔNG TY CỔ PHẦN NOVAON DIGITAL","0101990346","Đang hoạt động"
"9","CÔNG TY CHO THUÊ TÀI CHÍNH TNHH MỘT THÀNH VIÊN NGÂN HÀNG THƯONG MẠI CỔ PHẦN CÔNG THƯƠNG VIỆT NAM","0101047075","Đang hoạt động"
"10","CÔNG TY ĐIỆN LỰC HOÀI ĐỨC","0100101114-035","Ngừng hoạt động và đã hoàn thành thủ tục chấm dứt hiệu lực MST"
"11","CÔNG TY CỔ PHẦN VẬT LIỆU BAO BÌ NHỰA IFC VINA","2301153518","Đang hoạt động"
"12","CÔNG TY TNHH DU LỊCH VÀ THƯƠNG MẠI SÔNG HỒNG","0100237411","Đang hoạt động"
"13","Không tìm thấy","0316870070","Không tồn tại / Lỗi tra cứu"
"14","Không tìm thấy","2300998287","Không tồn tại / Lỗi tra cứu"
"15","CÔNG TY CỔ PHẦN XĂNG DẦU HFC","0100108159","Đang hoạt động"
"16","Không tìm thấy","0107090486","Không tồn tại / Lỗi tra cứu"
"17","Không tìm thấy","0101243150","Không tồn tại / Lỗi tra cứu"
"18","Không tìm thấy","0103971652-001","Không tồn tại / Lỗi tra cứu"
"19","Không tìm thấy","0108431890","Không tồn tại / Lỗi tra cứu"
"20","Không tìm thấy","0311072367","Không tồn tại / Lỗi tra cứu"
"21","Không tìm thấy","0107616419","Không tồn tại / Lỗi tra cứu"
"22","Không tìm thấy","0303217354-001","Không tồn tại / Lỗi tra cứu"
"23","Không tìm thấy","0302588268","Không tồn tại / Lỗi tra cứu"
"24","Không tìm thấy","0102385623-057","Không tồn tại / Lỗi tra cứu"
"25","CÔNG TY TNHH THƯƠNG MẠI VÀ XUẤT NHẬP KHẨU NGỌC NAM","0104912402","Đang hoạt động"
"26","CÔNG TY TNHH SAKATA INX VIỆT NAM","0303177976","Đang hoạt động"
"27","Không tìm thấy","0314446814","Không tồn tại / Lỗi tra cứu"
"28","Không tìm thấy","0100150619-077","Không tồn tại / Lỗi tra cứu"
"29","Không tìm thấy","0106869738-002","Không tồn tại / Lỗi tra cứu"
"30","Trung tâm Kiểm soát bệnh tật TP Hà Nội","0101566426","Đang hoạt động"
"31","CÔNG TY TRÁCH NHIỆM HỮU HẠN TOYO INK VIỆT NAM","3600668186","Đang hoạt động"
"32","Không tìm thấy","2301081870","Không tồn tại / Lỗi tra cứu"
"33","Không tìm thấy","0100111948-104","Không tồn tại / Lỗi tra cứu"
"34","NGÂN HÀNG THƯƠNG MẠI CỔ PHẦN CÔNG THƯƠNG VIỆT NAM - CHI NHÁNH ĐÔ THÀNH","0100111948-104","Đang hoạt động"
"35","Văn phòng công chứng Phạm Thu Nga","0105886603","Đang hoạt động"
"36","Không tìm thấy","2300945951","Không tồn tại / Lỗi tra cứu"
"37","Không tìm thấy","0302077030-002","Không tồn tại / Lỗi tra cứu"
"38","Không tìm thấy","0104805312","Không tồn tại / Lỗi tra cứu"
"39","CÔNG TY CỔ PHẦN SẢN XUẤT VÀ XUẤT NHẬP KHẨU MINH THƯ","0105255220","Đang hoạt động"
"40","CÔNG TY CỔ PHẦN GIẤY VÀ BAO BÌ SIC","0106382510","Đang hoạt động"
"41","Không tìm thấy","0108967850","Không tồn tại / Lỗi tra cứu"
"42","Không tìm thấy","0103420630","Không tồn tại / Lỗi tra cứu"
"43","Không tìm thấy","0100235358","Không tồn tại / Lỗi tra cứu"
"44","CHI NHÁNH XĂNG DẦU HÀ NỘI - CÔNG TY XĂNG DẦU KHU VỰC I - CÔNG TY TRÁCH NHIỆM HỮU HẠN MỘT THÀNH VIÊN","0100107564-001","Ngừng hoạt động và đã hoàn thành thủ tục chấm dứt hiệu lực MST"
"45","CÔNG TY CỔ PHẦN ĐẦU TƯ PHÁT TRIỂN XĂNG DẦU HÀ NỘI","0107779847","Đang hoạt động"
"46","Không tìm thấy","0105867262","Không tồn tại / Lỗi tra cứu"
"47","Không tìm thấy","0102737963-012","Không tồn tại / Lỗi tra cứu"
"48","CÔNG TY CỔ PHẦN TẬP ĐOÀN GOLDEN GATE – CHI NHÁNH MIỀN BẮC","0102721191-068","Đang hoạt động"
"49","CÔNG TY CỔ PHẦN Á ĐÔNG ADG","0308113486","Đang hoạt động"
"50","Không tìm thấy","0104050365","Không tồn tại / Lỗi tra cứu"
"51","Không tìm thấy","1101272587","Không tồn tại / Lỗi tra cứu"
"52","Không tìm thấy","0100150619-186","Không tồn tại / Lỗi tra cứu"
"53","Không tìm thấy","1100719199-003","Không tồn tại / Lỗi tra cứu"
"54","Không tìm thấy","0900554265","Không tồn tại / Lỗi tra cứu"
"55","Không tìm thấy","0500238177","Không tồn tại / Lỗi tra cứu"
"56","Không tìm thấy","0102737963-010","Không tồn tại / Lỗi tra cứu"
"57","CÔNG TY TNHH THƯƠNG MẠI QUỐC TẾ HOÀNG PHÚC","0109929294","Đang hoạt động"
"58","CÔNG TY TNHH PHÁT TRIỂN CÔNG NGHỆ THÁI SƠN","0101300842","Đang hoạt động"
"59","Không tìm thấy","0101079327","Không tồn tại / Lỗi tra cứu"
"60","Không tìm thấy","0310762079","Không tồn tại / Lỗi tra cứu"
"61","CÔNG TY CỔ PHẦN THIẾT BỊ ĐO LƯỜNG ĐÔNG ĐÔ","0102258103","Đang hoạt động"
"62","CÔNG TY CỔ PHẦN KIỂM ĐỊNH HUẤN LUYỆN AN TOÀN VIỆT NAM","0109299941","Đang hoạt động"
"63","Không tìm thấy","0107571302","Không tồn tại / Lỗi tra cứu"
"64","Không tìm thấy","0105969306","Không tồn tại / Lỗi tra cứu"
"65","CÔNG TY CỔ PHẦN ĐẦU TƯ XÂY DỰNG ALPHA","0101214914","Đang hoạt động"
"66","CÔNG TY TNHH SẢN XUẤT THƯƠNG MẠI NGUYỄN NHUNG","0105992390","Đang hoạt động"
"67","Không tìm thấy","0107950276","Không tồn tại / Lỗi tra cứu"
"68","Không tìm thấy","0101335193-029","Không tồn tại / Lỗi tra cứu"
"69","CÔNG TY TNHH CÔNG NGHỆ PROTECH VIỆT NAM","0108240254","Đang hoạt động"
"70","CÔNG TY TNHH HOÀNG HẠC PHƯƠNG BẮC","0900270665","Đang hoạt động"
"71","Không tìm thấy","0500232954","Không tồn tại / Lỗi tra cứu"
"72","Không tìm thấy","3700626944","Không tồn tại / Lỗi tra cứu"
"73","Không tìm thấy","0107963571","Không tồn tại / Lỗi tra cứu"
"74","Không tìm thấy","3700371100","Không tồn tại / Lỗi tra cứu"
"75","CÔNG TY CỔ PHẦN KINH DOANH THIẾT BỊ ĐO LƯỜNG","0106597837","Đang hoạt động"
"76","CÔNG TY CỔ PHẦN MẮT BÃO WS","0314527622","Đang hoạt động"
"77","Không tìm thấy","0108075931","Không tồn tại / Lỗi tra cứu"
"78","CÔNG TY TNHH ĐẦU TƯ ỨNG DỤNG SẢN XUẤT BAO BÌ VIỆT","0900254328","Đang hoạt động"
"79","CÔNG TY TNHH VIỆT NAM DONG YUN PLATE MAKING MIỀN BẮC","2300243293","Đang hoạt động"
"80","Không tìm thấy","0109576338","Không tồn tại / Lỗi tra cứu"
"81","CÔNG TY TNHH MTV PETROLIMEX HÀ NỘI","0100107564","Đang hoạt động"
"82","CÔNG TY TNHH QUẢN LÝ NỢ VÀ KHAI THÁC TÀI SẢN NGÂN HÀNG Á CHÂU","0303539425","Đang hoạt động"
"83","Không tìm thấy","0101508664-002","Không tồn tại / Lỗi tra cứu"
"84","Không tìm thấy","0101904467","Không tồn tại / Lỗi tra cứu"
"85","Không tìm thấy","0305723148","Không tồn tại / Lỗi tra cứu"
"86","CÔNG TY CỔ PHẦN SẢN XUẤT VÀ THƯƠNG MẠI MÀNG NHỰA VIỆT NAM","2500726308","Đang hoạt động"
"87","NGÂN HÀNG THƯƠNG MẠI CỔ PHẦN NGOẠI THƯƠNG VIỆT NAM- CHI NHÁNH CHÍ LINH","0100112437-172","Đang hoạt động"
"88","Không tìm thấy","0101744118","Không tồn tại / Lỗi tra cứu"
"89","Không tìm thấy","0101365991","Không tồn tại / Lỗi tra cứu"
"90","CÔNG TY TNHH NHỰA GIA HÒA","0305992006","Đang hoạt động"
"91","CÔNG TY TNHH KỸ THUẬT VÔ CỰC","0109570209","Đang hoạt động"
"92","Không tìm thấy","0100110768-030","Không tồn tại / Lỗi tra cứu"
"93","Không tìm thấy","0302202210","Không tồn tại / Lỗi tra cứu"
"94","CÔNG TY TNHH THƯƠNG MẠI HOA VỸ","0108314202","Đang hoạt động"
"95","CÔNG TY ĐIỆN LỰC TỪ LIÊM","0100101114-042","Đang hoạt động"
"96","CÔNG TY TNHH VIỆT NAM DONG YUN PLATE MAKING MIỀN BẮC","2300243293","Đang hoạt động"
"97","Không tìm thấy","0303075477","Không tồn tại / Lỗi tra cứu"
"98","CHI NHÁNH CÔNG TY TRÁCH NHIỆM HỮU HẠN SAKATA INX VIỆT NAM TẠI BẮC NINH","0303177976-003","Đang hoạt động"
"99","Không tìm thấy","0315766687","Không tồn tại / Lỗi tra cứu"
