"STT","Tên công ty","Mã số thuế","Trạng thái hoạt động"
"1","Không tìm thấy","0107759343","Không tồn tại / Lỗi tra cứu"
"2","Không tìm thấy","0103085460-012","Không tồn tại / Lỗi tra cứu"
"3","Không tìm thấy","0200761562","Không tồn tại / Lỗi tra cứu"
"4","CÔNG TY CỔ PHẦN BAO BÌ NHỰA THIÊN HÀ","0900213804","Đang hoạt động"
"5","Chi nhánh công ty liên doanh TNHH In Mei Việt Nam","3700387904-001","Đang hoạt động"
"6","Không tìm thấy","0313918084","Không tồn tại / Lỗi tra cứu"
"7","Không tìm thấy","0314209228","Không tồn tại / Lỗi tra cứu"
"8","Không tìm thấy","0101990346","Không tồn tại / Lỗi tra cứu"
"9","CÔNG TY CHO THUÊ TÀI CHÍNH TNHH MỘT THÀNH VIÊN NGÂN HÀNG THƯONG MẠI CỔ PHẦN CÔNG THƯƠNG VIỆT NAM","0101047075","Đang hoạt động"
"10","CÔNG TY ĐIỆN LỰC HOÀI ĐỨC","0100101114-035","Ngừng hoạt động và đã hoàn thành thủ tục chấm dứt hiệu lực MST"
"11","Không tìm thấy","2301153518","Không tồn tại / Lỗi tra cứu"
"12","Không tìm thấy","0100237411","Không tồn tại / Lỗi tra cứu"
"13","Không tìm thấy","0316870070","Không tồn tại / Lỗi tra cứu"
"14","Không tìm thấy","2300998287","Không tồn tại / Lỗi tra cứu"
"15","Không tìm thấy","0100108159","Không tồn tại / Lỗi tra cứu"
"16","CÔNG TY CỔ PHẦN HT ALUMINIUM","0107090486","Đang hoạt động"
"17","CÔNG TY CỔ PHẦN MISA","0101243150","Đang hoạt động"
"18","Không tìm thấy","0103971652-001","Không tồn tại / Lỗi tra cứu"
"19","CÔNG TY TNHH THƯƠNG MẠI DỊCH VỤ XUẤT NHẬP KHẨU TRAN DUONG FORKLIFTS","0108431890","Đang hoạt động"
"20","CÔNG TY TNHH THƯƠNG MẠI XUẤT NHẬP KHẨU TÂN KHẢI PHÚ","0311072367","Đang hoạt động"
